Site	Fire	No.	Sherd	Part	Decorated	Weight	max thickness	exterior colour	core colour	interior	Inclusions	RIM_DIRECTION	LIP	RIM_LIP	radius	Burnished_inside	Burnished_outside	Multi-Impressed	Dash-Impressed_comb	LT-Impressed_comb	Fingernail	Punctate	Incised	Incised_comb	Grooved	Applique	Row_dashes_single	Row_dashes_multiple	Dots	Dashes	Dashes_slanted	Circles	Spikes	Stick	Columns_straight	Columns_slanted	Spaced_rows	Trails	Lines_straight	Lines_wavy	Lines_undulus	Tracks	Cresents	Triangles	Triangles_desc_dots	Single_col	Musical	Nubbin	Nubbin_donut	Agarabi_Adzera
NNA	N	197	NNA/197	body	Y	45.5	10.02	salmon4	sienna1	sienna1	Abundant			_			Y		Y									Y		Y																				notAdzera
NNA	N	198	NNA/198	body	Y	17.1	9.86	sienna3	salmon4	tan4	Abundant			_					Y									Y		Y																				notAdzera
NNA	N	199	NNA/199	body	Y	58.5	14.69	sienna3	salmon4	salmon4	Abundant			_					Y									Y		Y																				notAdzera
NNA	N	207	NNA/207	body	Y	160.9	11.65	tan1	grey	tan1	Abundant			_			N		Y					Y				Y		Y										Y										notAdzera
NNA	N	223	NNA/223	body	Y	77.4	13.58	tan4	grey	tan4	Abundant			_			Y		Y							Y									Y													Y		AMR
NNA	N	231	NNA/231	base	N	248.2	15.54	tan1	sienna1	salmon3	Abundant			_																																				
NNA	N	235	NNA/235	body	N	36.5	11.61	tan4	salmon3	grey	Abundant			_			N																																	
NNA	N	236	NNA/236	body	N	20.9	14.62	tan4	salmon3	tan4	Abundant			_			Y																																	
NNA	Y	240	NNA/240	body	Y	23.3	14.66	FIRE	FIRE	FIRE	Abundant			_			N		Y									Y		Y														Y						notAdzera
NNA	N	121	NNA/121	body	Y	132.2	12.88	salmon3	salmon4	salmon3	Moderate			_			Y		Y									Y		Y																				notAdzera
NNA	N	122	NNA/122	body	Y	28.2	12.6	sienna3	salmon4	sienna3	Moderate			_			Y		Y			Y						Y		Y																				notAdzera
NNA	N	125	NNA/125	body	Y	63.4	12.83	sienna3	salmon3	sienna3	Moderate			_		Y	Y		Y									Y		Y																				notAdzera
NNA	N	127	NNA/127	body	Y	41.9	10.06	salmon3	salmon4	sienna3	Moderate			_			Y					Y											Y																	notAdzera
NNA	N	128	NNA/128	body	Y	117.2	13.17	sienna3	salmon4	sienna4	Moderate			_			Y		Y			Y						Y		Y			Y		Y															AMR
NNA	N	129	NNA/129	body	Y	105.3	8.79	tan1	tan1	tan1	Moderate			_		Y	N		Y			Y						Y		Y			Y																	AMR
NNA	N	132	NNA/132	body	Y	132.2	12.27	tan1	salmon4	tan1	Moderate			_		Y			Y									Y		Y																				notAdzera
NNA	N	134	NNA/134	body	Y	84.2	11.43	salmon4	salmon3	sienna3	Moderate			_		Y						Y		Y									Y						Y											notAdzera
NNA	N	135	NNA/135	body	Y	95.6	11.53	grey	salmon4	salmon4	Moderate			_			Y		Y			Y						Y		Y		Y																		notAdzera
NNA	N	136	NNA/136	body	Y	102	10.42	sienna4	salmon4	sienna3	Moderate			_		Y	Y		Y									Y		Y						Y								Y						notAdzera
NNA	N	137	NNA/137	body	Y	311.4	13.83	tan1	salmon4	tan1	Moderate			_			Y		Y			Y						Y		Y			Y		Y															AMR
NNA	N	138	NNA/138	body	Y	112	10.26	sienna4	salmon4	grey	Moderate			_					Y									Y		Y																				notAdzera
NNA	N	139	NNA/139	body	Y	143.5	11.38	tan4	dark grey	tan4	Moderate			_					Y			Y						Y		Y			Y																	notAdzera
NNA	N	141	NNA/141	body	Y	74.9	13.6	tan4	salmon4	salmon3	Moderate			_			Y		Y			Y								Y			Y																	notAdzera
NNA	N	142	NNA/142	body	Y	116.6	12.08	salmon2	grey	grey	Moderate			_			N		Y									Y		Y																				notAdzera
NNA	N	147	NNA/147	body	Y	594.1	17.76	salmon2	salmon4	dark grey	Moderate			_			Y		Y			Y						Y		Y			Y																	notAdzera
NNA	N	148	NNA/148	body	Y	62.2	10.63	tan4	dark grey	tan4	Moderate			_		N	N					Y											Y																	notAdzera
NNA	N	153	NNA/153	body	Y	150.7	11.75	tan4	tan4	salmon3	Moderate			_			Y		Y			Y						Y		Y			Y																	notAdzera
NNA	N	154	NNA/154	body	Y	321.6	15.46	tan1	salmon3	tan1	Moderate			_		N	N		Y								Y			Y																				notAdzera
NNA	N	160	NNA/160	body	Y	107.1	12.1	sienna4	salmon4	sienna1	Moderate			_		N	N		Y					Y			Y			Y									Y											notAdzera
